CURSO_ESCO	GRADO	CURSO	ESPECIALID	ASIGNATURA	NOTA_EXAME	NOTA_EXAME	
2013	E	3	Ob	CCOB			
2013	E	3	Ob	CCOB			
2013	E	3	Ob	CCOB			
2013	E	3	Ob	Ob	7		
2013	E	3	Ob	Ob	8		
2013	E	3	Ob	Ob	9		
2013	E	3	Ob	Ob	8		
2013	E	3	Pe	Pe	9		
2013	E	3	Pe	Pe	NP		
2013	E	3	Pi	CCPI			
2013	E	3	Pi	CCPI			
2013	E	3	Pi	CCPI			
2013	E	3	Pi	CCPI			
2013	E	3	Pi	CCPI			
2013	E	3	Pi	CCPI			
2013	E	3	Pi	CCPI			
2013	E	3	Pi	CCPI			
2013	E	3	Pi	CCPI			
2013	E	3	Pi	CCPI			
2013	E	3	Pi	Co	6		
2013	E	3	Pi	Co	5		
2013	E	3	Pi	Lm	8		
2013	E	3	Pi	Lm	6		
2013	E	3	Pi	Pi	9		
2013	E	3	Pi	Pi	8		
2013	E	3	Pi	Pi	8		
2013	E	3	Pi	Pi			
2013	E	3	Pi	Pi	9		
2013	E	3	Pi	Pi	9		
2013	E	3	Pi	Pi	6		
2013	E	3	Pi	Pi	9		
2013	E	3	Pi	Pi	6		
2013	E	3	Pi	Pi	7		
2013	E	3	Pi	Pi	NP		
2013	E	3	Pi	Pi	3		
2013	E	3	Pi	Pi	3		
2013	E	3	Sx	CCSX			
2013	E	3	Sx	CCSX			
2013	E	3	Sx	Sx	5		
2013	E	3	Sx	Sx	7		
2013	E	3	Tb	Tb	NP		
2013	E	3	Tp	Tp	8		
2013	E	3	Tp	Tp	NP		
2013	E	3	Tr	Tr	7		
2013	E	3	Va	CCVA	7		
2013	E	3	Va	CCVA	7		
2013	E	3	Va	CCVA	7		
2013	E	3	Va	CCVA	7		
2013	E	3	Va	Va	8		
2013	E	3	Va	Va	9		
2013	E	3	Va	Va	7		
2013	E	3	Va	Va	8		
2013	E	3	Vi	CCVN			
2013	E	3	Vi	CCVN			
2013	E	3	Vi	CCVN			
2013	E	3	Vi	CCVN			
2013	E	3	Vi	CCVN			
2013	E	3	Vi	CCVN	6		
2013	E	3	Vi	CCVN	6		
2013	E	3	Vi	CCVN	6		
2013	E	3	Vi	CCVN	5		
2013	E	3	Vi	Vi	9		
2013	E	3	Vi	Vi	6		
2013	E	3	Vi	Vi	10		
2013	E	3	Vi	Vi	4		
2013	E	3	Vi	Vi	7		
2013	E	3	Vi	Vi	7		
2013	E	3	Vi	Vi	4		
2013	E	3	Vi	Vi	5		
2013	E	3	Vi	Vi	7		
2013	E	3	Vc	CCVC			
2013	E	3	Vc	CCVC			
2013	E	3	Vc	CCVC			
2013	E	3	Vc	CCVC			
2013	E	3	Vc	Vc	8		
2013	E	3	Vc	Vc	7		
2013	E	3	Vc	Vc	5		
2013	E	3	Vc	Vc	8		
2013	E	4	Cl	CCCL			
2013	E	4	Cl	Cl	6		
2013	E	4	Cb	Cb	4		
2013	E	4	Cb	Cb	7		
2013	E	4	Cb	CCCO			
2013	E	4	Cb	CCCO			
2013	E	4	Fg	Fg	9		
2013	E	4	Fg	Fg	8		
2013	E	4	Ft	CCFL			
2013	E	4	Ft	CCFL			
2013	E	4	Ft	CCFL			
2013	E	4	Ft	Ft	4		
2013	E	4	Ft	Ft	8		
2013	E	4	Ft	Ft	5		
2013	E	4	Gi	CCGU			
2013	E	4	Gi	CCGU			
2013	E	4	Gi	Gi	4		
2013	E	4	Gi	Gi	6		
2013	E	4	Pe	Pe	4		
2013	E	4	Pe	Pe	4		
2013	E	4	Pe	Pe	6		
2013	E	4	Pi	CCPI			
2013	E	4	Pi	CCPI			
2013	E	4	Pi	CCPI			
2013	E	4	Pi	CCPI			
2013	E	4	Pi	CCPI			
2013	E	4	Pi	Co	8		
2013	E	4	Pi	Co	5		
2013	E	4	Pi	Co	CV		
2013	E	4	Pi	Lm	9		
2013	E	4	Pi	Lm	9		
2013	E	4	Pi	Lm	CV		
2013	E	4	Pi	Pi	7		
2013	E	4	Pi	Pi	5		
2013	E	4	Pi	Pi	10		
2013	E	4	Pi	Pi	9		
2013	E	4	Pi	Pi	3		
2013	E	4	Pi	Pi	8		
2013	E	4	Pi	Pi	7		
2013	E	4	Pi	Pi	7		
2013	E	4	Sx	CCSX			
2013	E	4	Sx	CCSX			
2013	E	4	Sx	CCSX			
2013	E	4	Sx	CCSX			
2013	E	4	Sx	Sx	4		
2013	E	4	Sx	Sx	8		
2013	E	4	Sx	Sx	7		
2013	E	4	Sx	Sx	7		
